x,y,z,u,v,w,p,res_u,res_v,res_w,res_norm
0.0,0.2222222222222222,0.2222222222222222,0.19849759768351594,1.9153651449505966,-0.34897166011376196,-0.8362406727567502,2.2988756773708108,3.042677555478406,-2.2157541974748645,4.410474209225877
0.0,0.2222222222222222,0.3333333333333333,0.19849759768351594,2.0298543135219616,-0.3122735619237752,-0.7483010323020393,2.29602162385907,4.2166977898343205,-2.1209114302958647,5.248859003934258
0.0,0.2222222222222222,0.4444444444444444,0.19849759768351594,2.090772727713409,-0.27943466081106083,-0.6696091845166445,2.262602871265063,4.970501798606431,-1.9540444036610833,5.800305975936603
0.0,0.2222222222222222,0.5555555555555556,0.19849759768351594,2.090772727713409,-0.2500491209744248,-0.5991926252055013,2.1921863119539196,5.137764083569786,-1.7299515025063943,5.8476519053173766
0.0,0.2222222222222222,0.6666666666666666,0.19849759768351594,2.029854313521962,-0.223753784582788,-0.5361811193790996,2.0839017109361304,4.705553200106405,-1.4695502455376541,5.352051493028999
0.0,0.2222222222222222,0.7777777777777777,0.19849759768351594,1.9153651449505968,-0.2002236837306917,-0.4797959465539576,1.9424309511680184,3.814383124557715,-1.1958881321312165,4.444401539638207
0.0,0.2222222222222222,0.8888888888888888,0.19849759768351594,1.7611143054091924,-0.17916802435962859,-0.4293402770246472,1.7773397804590023,2.704573819092627,-0.9307331081724715,3.3674798227712848
0.0,0.2222222222222222,1.0,0.19849759768351594,1.58570672264638,-0.1603265925129504,-0.3841905601736276,1.601831381473625,1.6320212799084142,-0.6920281175985757,2.389196548694692
0.0,0.3333333333333333,0.0,0.26743508990152803,1.58570672264638,-0.6537192945700666,-0.934514897863193,1.756488930883771,-0.31526911557321946,-2.457185986631748,3.036842266639966
0.0,0.3333333333333333,0.1111111111111111,0.26743508990152803,1.8220327196006396,-0.5849737269414501,-0.8362406727567502,1.772850206957034,0.6532235526052429,-2.5528730235929435,3.175981665654635
0.0,0.3333333333333333,0.2222222222222222,0.26743508990152803,2.0298543135219616,-0.5234574901706429,-0.7483010323020393,1.785719334399945,1.8233204683713273,-2.55813457461441,3.613494648324426
0.0,0.3333333333333333,0.3333333333333333,0.26743508990152803,2.184105153063366,-0.46841034288566286,-0.6696091845166445,1.7818504960426738,2.939403564684046,-2.4596600551540173,4.22670227165873
0.0,0.3333333333333333,0.4444444444444444,0.26743508990152803,2.2661803104762215,-0.41915199121659125,-0.5991926252055014,1.7512464284831126,3.7563430676667218,-2.2631269314420206,4.722152136801701
0.0,0.3333333333333333,0.5555555555555556,0.26743508990152803,2.2661803104762215,-0.37507368146163717,-0.5361811193790995,1.6882349226567108,4.114889682286764,-1.9881695905848846,4.8718859358973345
0.0,0.3333333333333333,0.6666666666666666,0.26743508990152803,2.184105153063366,-0.33563067687418197,-0.4797959465539575,1.5920372580799866,3.9893433643808818,-1.662780461212852,4.605896435248609
0.0,0.3333333333333333,0.7777777777777777,0.26743508990152803,2.029854313521962,-0.3003355255960375,-0.4293402770246472,1.466758579122553,3.487735132545957,-1.3179071705134884,4.0065641632595685
0.0,0.3333333333333333,0.8888888888888888,0.26743508990152803,1.8220327196006398,-0.26875203653944285,-0.38419056017362757,1.3208000943739115,2.8049238985338274,-0.9828368425738854,3.2523959206998376
0.0,0.3333333333333333,1.0,0.26743508990152803,1.58570672264638,-0.2404898887694256,-0.34378881839229897,1.165762851412877,2.149084391821774,-0.6817494971141533,2.5381783084964002
0.0,0.4444444444444444,0.0,0.30411596335584784,1.58570672264638,-0.8716257260934221,-0.8362406727567502,1.163405718070892,-1.1460777206202089,-2.8363028951742004,3.272861304686713
0.0,0.4444444444444444,0.1111111111111111,0.30411596335584784,1.8544467307591495,-0.7799649692552669,-0.7483010323020393,1.1207391728075686,-0.547300342263965,-2.911738524891376,3.167619799698861
0.0,0.4444444444444444,0.2222222222222222,0.30411596335584784,2.090772727713409,-0.6979433202275239,-0.6696091845166445,1.0818598167737563,0.2647516233429129,-2.8929893168984298,3.0999840762334405
0.0,0.4444444444444444,0.3333333333333333,0.30411596335584784,2.2661803104762215,-0.6245471238475504,-0.5991926252055014,1.040993171699349,1.1237688398932584,-2.7629872054064766,3.159212162277108
